MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,MAC10,MAC11,MAC12,MAC13,MAC14,MAC15,MAC16,MAC17,MAC18,MAC19,MAC20,MAC21,MAC22,MAC23,MAC24,MAC25,MAC26,MAC27,MAC28,MAC29,MAC30,MAC31,MAC32,MAC33,MAC34,MAC35,MAC36,MAC37,MAC38,MAC39,MAC40,MAC41,MAC42,MAC43,MAC44,MAC45,MAC46,MAC47,MAC48,MAC49,MAC50,MAC51,MAC52,ECoord,NCoord,FloorID,BuildingID,SceneID,UserID,PhoneID,SampleTimes
-44,-48,-71,-85,-92,100,100,100,-88,100,-94,100,-90,100,100,100,-77,-88,100,100,-41,-52,100,100,100,100,100,100,100,100,100,100,100,100,-85,100,100,100,100,100,-91,100,-88,100,-84,100,-84,-85,-90,100,100,100,45,17.5,1,1,1,4,3,1
-37,-50,-72,-85,-93,100,-93,100,-86,100,-90,100,-90,100,100,100,-82,-88,100,100,-45,-48,100,100,100,100,100,100,100,100,-93,100,100,100,-84,100,100,100,100,100,-90,100,-86,100,-87,100,-84,-81,-91,100,100,100,45.5,17.5,1,1,1,4,3,1
-41,-51,-68,-84,-88,100,-93,100,-84,100,-89,100,-90,100,100,100,-88,-87,100,100,-45,-51,-94,100,100,100,100,100,100,100,-93,100,100,100,-84,100,100,100,100,100,-89,100,-81,100,-83,100,-85,-79,-89,100,100,100,46,17.5,1,1,1,4,3,1
-38,-50,-67,-89,-83,-90,-92,100,-83,100,-88,100,-92,100,100,100,-85,-88,100,100,-37,-47,100,100,-92,100,100,100,100,100,-90,100,100,100,-84,100,100,100,100,100,-87,100,-84,100,-83,100,-79,-81,-91,100,100,100,46.5,17.5,1,1,1,4,3,1
-35,-57,-63,-87,-86,-87,100,100,-81,100,-89,100,-93,100,100,100,-78,-86,100,100,-37,-49,-94,100,100,100,100,100,100,100,-80,100,100,100,-81,100,100,100,100,100,-86,100,-82,100,-88,100,-85,-80,-89,100,100,100,46.9,17.5,1,1,1,4,3,1
-34,-54,-62,-87,-88,-90,100,100,-90,100,-92,100,100,100,100,100,-80,-85,100,100,-36,-51,100,100,100,100,100,100,100,100,-92,100,100,100,-81,100,100,100,100,100,-91,100,-87,100,-92,100,-87,-80,-92,100,100,100,47.4,17.5,1,1,1,4,3,1
-49,-51,-66,-87,-88,100,100,100,-88,100,-93,100,-90,100,100,100,-83,-87,100,100,-36,-53,-92,100,100,100,100,100,100,100,-94,100,100,100,-77,100,100,100,100,100,-92,100,-86,100,-92,100,-85,-87,-92,100,100,100,45,18,1,1,1,4,3,1
-45,-53,-69,-85,-90,100,100,100,-81,100,-86,100,-89,100,100,100,-80,-85,100,100,-35,-47,-92,100,-92,100,100,100,100,100,-91,100,100,100,-93,100,100,100,100,100,-92,100,-86,100,-92,100,-78,-84,-91,100,100,100,45.5,18,1,1,1,4,3,1
-45,-49,-67,-85,-87,100,100,100,-80,100,-86,100,-91,100,100,100,-81,-86,100,100,-35,-45,100,100,-92,100,100,100,100,100,-89,100,100,100,-87,100,100,100,100,100,-90,100,-87,100,-86,100,-82,-85,-91,100,100,100,46,18,1,1,1,4,3,1
-43,-47,-74,-87,-87,100,-92,100,-85,100,-86,100,-90,100,100,100,-81,-85,100,100,-38,-47,100,100,100,100,100,100,100,100,-86,100,100,100,-84,100,100,100,100,100,-89,100,-88,100,-84,100,-84,-77,-93,100,100,100,46.5,18,1,1,1,4,3,1
-36,-47,-74,-85,-89,100,-94,100,-89,100,-90,100,-90,100,100,100,-82,-84,100,100,-34,-47,-92,100,-92,100,100,100,100,100,-84,100,100,100,-83,100,100,100,100,100,-87,100,-80,100,-87,100,-78,-79,-90,100,100,100,46.9,18,1,1,1,4,3,1
-44,-50,-70,-85,-90,-87,-92,100,-85,100,-90,100,100,100,100,100,-79,-83,100,100,-37,-47,100,100,-94,100,100,100,100,100,-88,100,100,100,-81,100,100,100,100,100,-84,100,-86,100,-91,100,-76,-82,-89,100,100,100,47.4,18,1,1,1,4,3,1
-46,-48,-68,-84,-88,-89,-90,100,-77,100,-85,100,-89,100,100,100,-79,-83,100,100,-31,-49,100,100,-88,100,100,100,-93,100,-90,100,100,100,-82,100,100,100,100,100,-91,100,-83,100,-78,100,-82,-82,-90,100,100,100,45,18.5,1,1,1,4,3,1
-43,-49,-73,-87,-89,100,-92,100,-80,100,-85,100,-91,100,100,100,-83,-87,100,100,-42,-49,100,100,-91,100,100,100,100,100,-96,100,100,100,-89,100,100,100,100,100,-94,100,-87,100,-80,100,-84,-79,-92,100,100,100,45.5,18.5,1,1,1,4,3,1
