MAC302,MAC314,MAC317,MAC327,MAC333,MAC230,MAC308,MAC324,MAC228,MAC335,MAC232,MAC276,MAC154,MAC135,MAC121,MAC217,MAC207,MAC208,MAC7,MAC31,MAC39,MAC38,MAC22,MAC32,MAC41,MAC15,MAC25,MAC12,MAC16,MAC48,MAC20,MAC9,MAC3,MAC29,MAC132,MAC206,MAC195,MAC176,MAC187,MAC119,MAC81,MAC82,MAC183,MAC112,MAC80,MAC125,MAC102,MAC10,MAC131,MAC191,MAC94,MAC196,MAC78,MAC56,MAC113,MAC211,ECoord,NCoord,FloorID,BuildingID,SceneID,UserID,PhoneID,SampleTimes
-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-95,-103,-95,-44,-86,-73,-56,-53,-55,-69,-77,-105,-41,-96,-69,-85,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-99,-105,-105,-105,-105,-105,-105,-105,-105,858.542,917.094,4,2,1,5,4,1
-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-71,-77,-74,-51,-71,-64,-105,-62,-53,-72,-72,-84,-47,-90,-64,-74,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,857.803,916.148,4,2,1,5,4,1
-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-93,-77,-70,-49,-67,-66,-59,-60,-54,-67,-75,-94,-51,-94,-63,-72,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-100,-105,-105,-105,-105,-105,-105,-105,-105,858.749,915.409,4,2,1,5,4,1
-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-77,-80,-88,-41,-78,-67,-54,-52,-57,-65,-81,-93,-42,-73,-69,-82,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-89,-105,-105,-105,-105,-105,-98,-105,-105,859.487,916.355,4,2,1,5,4,1
-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-86,-75,-87,-49,-91,-70,-61,-55,-62,-77,-73,-95,-50,-80,-69,-73,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-97,-105,-105,-105,-105,-105,-105,-105,-105,860.433,915.616,4,2,1,5,4,1
-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-78,-71,-77,-60,-72,-64,-58,-48,-53,-65,-75,-105,-56,-91,-64,-93,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,859.694,914.67,4,2,1,5,4,1
-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-95,-74,-81,-52,-69,-69,-56,-43,-53,-74,-88,-97,-68,-87,-61,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-101,-105,-105,-105,-105,-105,-105,-105,-105,860.64,913.932,4,2,1,5,4,1
-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-91,-88,-82,-58,-89,-71,-60,-54,-54,-73,-81,-105,-52,-88,-70,-101,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,861.379,914.877,4,2,1,5,4,1
-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-97,-83,-85,-68,-80,-78,-105,-56,-59,-72,-102,-105,-60,-90,-61,-79,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,862.324,914.138,4,2,1,5,4,1
-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-87,-86,-70,-61,-78,-78,-64,-45,-63,-71,-91,-95,-65,-96,-64,-88,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-101,-105,-105,-105,-105,-105,-105,-105,-105,861.586,913.193,4,2,1,5,4,1
