MAC125,MAC112,MAC47,MAC22,MAC226,MAC79,MAC18,MAC208,MAC12,MAC81,MAC224,MAC70,MAC90,MAC76,MAC120,MAC128,MAC17,MAC31,MAC63,MAC34,MAC24,MAC32,MAC8,MAC340,MAC108,MAC77,MAC25,MAC141,MAC56,MAC33,MAC133,MAC9,MAC82,MAC213,MAC53,MAC75,MAC61,MAC84,MAC105,MAC14,MAC26,MAC46,MAC4,MAC40,MAC23,MAC6,ECoord,NCoord,FloorID,BuildingID,SceneID,UserID,PhoneID,SampleTimes
100,100,100,-55,100,100,-74,100,100,100,100,100,100,100,100,100,100,-65,100,-64,100,100,-49,100,100,100,-57,100,100,-69,100,-73,100,100,100,100,100,100,100,100,-62,100,-67,-74,-67,-49,19.03,20.05,4,3,1,1,1,1
100,100,100,-55,100,100,-74,100,100,100,100,100,100,100,100,100,100,-65,100,-64,100,100,-49,100,100,100,-57,100,100,-69,100,-73,100,100,100,100,100,100,100,100,-62,100,-67,-74,-67,-49,19.03,20.05,4,3,1,1,1,2
100,100,100,-55,100,100,-74,100,100,100,100,100,100,100,100,100,100,-65,100,-64,100,100,-49,100,100,100,-57,100,100,-69,100,-73,100,100,100,100,100,100,100,100,-62,100,-67,-74,-67,-49,19.03,20.05,4,3,1,1,1,3
100,100,100,-55,100,100,-74,100,100,100,100,100,100,100,100,100,100,-65,100,-64,100,100,-49,100,100,100,-57,100,100,-69,100,-73,100,100,100,100,100,100,100,100,-62,100,-67,-74,-67,-49,19.03,20.05,4,3,1,1,1,4
100,100,100,-55,100,100,-74,100,100,100,100,100,100,100,100,100,100,-65,100,-64,100,100,-49,100,100,100,-57,100,100,-69,100,-73,100,100,100,100,100,100,100,100,-62,100,-67,-74,-67,-49,19.03,20.05,4,3,1,1,1,5
100,100,100,-55,100,100,-74,100,100,100,100,100,100,100,100,100,100,-65,100,-64,100,100,-49,100,100,100,-57,100,100,-69,100,-73,100,100,100,100,100,100,100,100,-62,100,-67,-74,-67,-49,19.03,20.05,4,3,1,1,1,6
100,100,100,-55,100,100,-74,100,100,100,100,100,100,100,100,100,100,-65,100,-64,100,100,-49,100,100,100,-57,100,100,-69,100,-73,100,100,100,100,100,100,100,100,-62,100,-67,-74,-67,-49,19.03,20.05,4,3,1,1,1,7
100,100,100,-55,100,100,-74,100,100,100,100,100,100,100,100,100,100,-65,100,-64,100,100,-49,100,100,100,-57,100,100,-69,100,-73,100,100,100,100,100,100,100,100,-62,100,-67,-74,-67,-49,19.03,20.05,4,3,1,1,1,8
100,100,100,-55,100,100,-74,100,100,100,100,100,100,100,100,100,100,-65,100,-64,100,100,-49,100,100,100,-57,100,100,-69,100,-73,100,100,100,100,100,100,100,100,-62,100,-67,-74,-67,-49,19.03,20.05,4,3,1,1,1,9
100,100,100,-55,100,100,-74,100,100,100,100,100,100,100,100,100,100,-65,100,-64,100,100,-49,100,100,100,-57,100,100,-69,100,-73,100,100,100,100,100,100,100,100,-62,100,-67,-74,-67,-49,19.03,20.05,4,3,1,1,1,10
