MAC125,MAC112,MAC47,MAC22,MAC226,MAC79,MAC18,MAC208,MAC12,MAC81,MAC224,MAC70,MAC90,MAC76,MAC120,MAC128,MAC17,MAC31,MAC63,MAC34,MAC24,MAC32,MAC8,MAC340,MAC108,MAC77,MAC25,MAC141,MAC56,MAC33,MAC133,MAC9,MAC82,MAC213,MAC53,MAC75,MAC61,MAC84,MAC105,MAC14,MAC26,MAC46,MAC4,MAC40,MAC23,MAC6,ECoord,NCoord,FloorID,BuildingID,SceneID,UserID,PhoneID,SampleTimes
-105,-105,-105,-55,-105,-105,-74,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-65,-105,-64,-105,-105,-49,-105,-105,-105,-57,-105,-105,-69,-105,-73,-105,-105,-105,-105,-105,-105,-105,-105,-62,-105,-67,-74,-67,-49,19.03,20.05,4,3,1,1,1,1
-105,-105,-105,-49,-105,-105,-71,-105,-56,-105,-105,-105,-105,-105,-105,-105,-67,-105,-105,-105,-105,-105,-37,-105,-105,-105,-63,-105,-105,-83,-105,-73,-105,-105,-105,-105,-105,-105,-105,-86,-66,-105,-105,-82,-72,-51,19.03,18.85,4,3,1,1,1,1
-105,-105,-103,-48,-105,-105,-73,-105,-64,-105,-105,-105,-105,-105,-105,-105,-70,-105,-105,-102,-98,-97,-37,-105,-105,-105,-63,-105,-105,-83,-105,-77,-105,-105,-105,-105,-105,-105,-105,-87,-69,-105,-98,-81,-72,-50,20.23,20.05,4,3,1,1,1,1
-105,-105,-82,-45,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-61,-61,-57,-39,-105,-105,-105,-63,-105,-105,-83,-105,-79,-105,-105,-105,-105,-105,-105,-105,-78,-105,-105,-61,-73,-71,-43,20.23,18.85,4,3,1,1,1,1
-105,-105,-105,-60,-105,-105,-66,-105,-53,-105,-105,-105,-105,-105,-105,-105,-65,-105,-71,-57,-57,-105,-55,-105,-105,-105,-62,-105,-105,-76,-105,-73,-105,-105,-105,-105,-105,-105,-105,-81,-105,-105,-67,-105,-105,-49,21.43,20.05,4,3,1,1,1,1
-105,-105,-105,-56,-105,-105,-73,-105,-87,-105,-105,-105,-105,-105,-105,-105,-93,-105,-95,-91,-91,-74,-43,-105,-105,-105,-66,-105,-105,-82,-105,-78,-105,-105,-92,-105,-105,-105,-105,-80,-80,-105,-71,-105,-79,-47,21.43,18.85,4,3,1,1,1,1
-105,-105,-105,-42,-105,-52,-60,-105,-52,-105,-105,-105,-105,-105,-105,-105,-105,-62,-105,-54,-59,-51,-34,-105,-105,-67,-48,-105,-65,-66,-105,-47,-77,-105,-105,-72,-105,-90,-105,-72,-63,-78,-67,-60,-60,-32,22.63,20.05,4,3,1,1,1,1
-105,-105,-105,-79,-105,-105,-64,-105,-71,-85,-105,-105,-105,-87,-105,-105,-105,-105,-81,-74,-105,-60,-35,-105,-105,-105,-49,-105,-89,-85,-105,-50,-90,-105,-75,-105,-105,-105,-105,-73,-76,-92,-67,-61,-75,-38,22.63,18.85,4,3,1,1,1,1
-105,-105,-105,-45,-105,-105,-105,-105,-52,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-105,-37,-105,-105,-105,-44,-105,-69,-58,-105,-53,-105,-105,-73,-105,-105,-105,-105,-73,-64,-74,-66,-59,-61,-40,23.83,20.05,4,3,1,1,1,1
-105,-105,-105,-33,-105,-105,-63,-105,-49,-105,-105,-105,-105,-105,-105,-105,-60,-52,-105,-105,-60,-105,-44,-105,-105,-105,-36,-105,-69,-74,-105,-55,-83,-105,-69,-77,-105,-105,-105,-73,-63,-74,-65,-70,-105,-49,23.83,18.85,4,3,1,1,1,1
